University,City,Country,City_Country,lon,lat
Centre for Accident Research and Road Safety-Queensland (CARRS-Q),Brisbane,Australia,"Brisbane, Australia",153.0251235,-27.4697707
University of Melbourne,Melbourne,Australia,"Melbourne, Australia",144.9630576,-37.8136276
University of New South Wales,Sydney,Australia,"Sydney, Australia",151.2092955,-33.8688197
University of Queensland,Brisbane,Australia,"Brisbane, Australia",153.0251235,-27.4697707
"University of Vienna, Faculty of Psychology, Department of Applied Psychology: Work, Education, Economy",Vienna,Austria,"Vienna, Austria",16.3738189,48.2081743
Ghent University,Ghent,Belgium,"Ghent, Belgium",3.7174243,51.0543422
KU Leuven,Leuven,Belgium,"Leuven, Belgium",4.7005176,50.8798438
University of Fortaleza,Fortaleza,Brazil,"Fortaleza, Brazil",-38.5267393,-3.7319029
Carleton University,Ottawa,Canada,"Ottawa, Canada",-75.69719309999999,45.4215296
Queen's University,Kingston,Canada,"Kingston, Canada",-76.4859544,44.2311717
Université du Québec à Montréal,Montreal,Canada,"Montreal, Canada",-73.567256,45.5016889
University of Lethbridge,Lethbridge,Canada,"Lethbridge, Canada",-112.84184,49.69349
University of Manitoba,Manitoba,Canada,"Manitoba, Canada",-98.8138762,53.7608608
University of Ottawa,Ottawa,Canada,"Ottawa, Canada",-75.69719309999999,45.4215296
University of Ottawa,Ottawa,Canada,"Ottawa, Canada",-75.69719309999999,45.4215296
University of Toronto,Toronto,Canada,"Toronto, Canada",-79.3831843,43.653226
University of Toronto,Toronto,Canada,"Toronto, Canada",-79.3831843,43.653226
University of Western Ontario,London,Canada,"London, Canada",-81.2452768,42.9849233
University of Western Ontario,London,Canada,"London, Canada",-81.2452768,42.9849233
University of Western Ontario,London,Canada,"London, Canada",-81.2452768,42.9849233
University of Western Ontario,London,Canada,"London, Canada",-81.2452768,42.9849233
York University,York,Canada,"York, Canada",-79.4503544,43.6956787
Universidad Adolfo Ibáñez,Santiago,Chile,"Santiago, Chile",-70.6692655,-33.4488897
Hubei University,Wuhan,China,"Wuhan, China",114.305539,30.592849
NYU Shanghai,Shanghai,China,"Shanghai, China",121.4737021,31.2303904
Shanxi Normal University,Shaanxi,China,"Shaanxi, China",109.1880047,35.3939908
Universidad Antonio Nariño,Bogota,Colombia,"Bogota, Colombia",-74.072092,4.710988599999999
Universidad De Los Andes,Bogota,Colombia,"Bogota, Colombia",-74.072092,4.710988599999999
"Universidad del Rosario, Bogotá",Bogota,Colombia,"Bogota, Colombia",-74.072092,4.710988599999999
University of Rijeka,Rijeka,Croatia,"Rijeka, Croatia",14.442176,45.3270631
Center for Behavioral Experiments (CEBEX),Prague,Czech Republic,"Prague, Czech Republic",14.4378005,50.0755381
Charles University,Prague,Czech Republic,"Prague, Czech Republic",14.4378005,50.0755381
